[00:00.000 --> 00:02.000]  We've got it
[28:38.560 --> 28:40.800]  delusional fruitcake ism I
[28:41.560 --> 28:47.440]  Mean the gleam in the sky's eyes the pride you can look at his manifesto all of it. This is real
[28:48.120 --> 28:50.120]  This isn't one of their staged events
[28:50.440 --> 28:54.600]  It illustrates the spirit infecting government will be right back
[28:54.600 --> 29:00.600]  You may be arrested and or subject to other police action.
[29:04.280 --> 29:09.360]  Tyranny is here the grim future foretold in 1984 has become reality
[29:09.360 --> 29:15.240]  It really says that the state is God the United States is now recognized globally as one of the most impressive
[29:15.560 --> 29:23.360]  Police states on earth this film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide
[29:23.360 --> 29:29.820]  This documentary exposes how the continuity of government program has established an all-powerful shadow state
[29:30.080 --> 29:33.920]  Police state 4 chronicles the sickening depths to which our Republic has fallen
[29:34.480 --> 29:41.400]  Prepare to enter the secretive world of emergency dictatorship body scammers sound cameras citizen spies
[29:41.800 --> 29:47.680]  Stage terror and cameras on every street corner. It's only the beginning of the New World Order's hellish plan
[29:47.880 --> 29:52.560]  The police state isn't coming. It's here secure your copy today
[29:52.560 --> 29:58.320]  At infowars.com or see it online in the highest quality at prisonplanet.tv
[29:59.820 --> 30:01.080]  Looking back on
[30:01.080 --> 30:08.080]  2012 I know personally I'm thanking God that my family and I made it through the year from natural disasters like hurricane Sandy and the
[30:08.200 --> 30:11.200]  devastating summer drought to the family hardships brought on by a
[30:11.280 --> 30:17.340]  Disastrous economy our hearts go out to those that have lost everything my friends at e foods direct hear from customers every day
[30:17.340 --> 30:23.620]  But are fortunate to weather life's storm by having a supply of food on hand Danny from New York City wrote in following hurricane
[30:23.620 --> 30:26.440]  Sandy and said almost all the grocery stores are closed
[30:26.440 --> 30:31.320]  But I managed to get my e foods just in time to be able to help my sister and my niece bottom line
[30:31.320 --> 30:34.640]  It's better to be prepared ten years too early and one day too late
[30:34.640 --> 30:40.080]  He'd common sense is warning and do what I've done call eight hundred four. Oh nine five six three three today
[30:40.080 --> 30:42.920]  Or go to e foods direct comm forward slash Alex
[30:42.920 --> 30:48.360]  They have the best-tasting long-term storable food on the planet call eight hundred four oh nine five six three three
[30:48.360 --> 30:55.720]  And ask about the Alex Jones special or go to e foods direct comm forward slash Alex get self-sufficient today call eight hundred four
[30:55.720 --> 30:59.300]  Oh nine five six three three or e foods direct comm forward slash Alex
[31:00.280 --> 31:02.280]  Now that we have moved into the winter season
[31:02.880 --> 31:08.160]  There is an increased need to support our immunity and health at silver lungs
[31:08.160 --> 31:13.280]  We are committed to meeting your needs by providing a full selection of silver based products
[31:13.640 --> 31:21.120]  Our most popular silver based products are the 32 ounce nano silver solutions our 2 ounce nano silver nasal
[31:21.240 --> 31:24.120]  Applicators as well as our all-natural silver soaps
[31:24.840 --> 31:28.320]  Just released is our 100% natural silver gel
[31:28.760 --> 31:35.440]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface
[31:35.440 --> 31:41.480]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera
[31:41.600 --> 31:46.500]  To quickly penetrate and nourish the skin while delivering the silver more effectively
[31:47.240 --> 31:48.920]  visit
[31:48.920 --> 31:55.020]  www.silverlungs.com and click on our store page to find what silver based products are best for you
[31:55.840 --> 31:59.040]  That's www.silverlungs.com
[31:59.040 --> 32:06.760]  It's no secret that pathogens such as bacteria viruses moles and fungus can inflict severe damage in the human body
[32:07.320 --> 32:11.640]  Fortunately a new and vastly improved silver solution has been developed
[32:12.360 --> 32:16.160]  Supernatural silver is a revolutionary broad-spectrum antibacterial
[32:17.080 --> 32:22.320]  antiviral antifungal solution that can be used inside the body as well as on the skin
[32:22.320 --> 32:29.000]  Super natural silver is unique and superior to colloidal and ionic silvers using a patented
[32:29.200 --> 32:36.160]  Technology that is highly effective against colds flus infections food poisoning and yeast in addition to many other pathogens
[32:36.960 --> 32:38.720]  supernatural silver is
[32:38.720 --> 32:40.120]  scientifically supported
[32:40.120 --> 32:45.960]  Extremely safe and is the number one choice of thousands of people for immune system support find out how?
[32:45.960 --> 32:52.240]  Supernatural silver could change your life go to www.supernaturalsilver.com and use the promo code
[32:52.520 --> 32:58.580]  Healthy for 20% off that's www.supernaturalsilver.com and like us on Facebook
[33:00.840 --> 33:07.480]  Coast to coast direct from Austin you're listening to the Alex Jones Broadcasting Network
[33:07.480 --> 33:09.480]  Network Network
[33:09.480 --> 33:37.800]  He aligns himself with the truth and it's time for you to choose a side you're listening to Alex Jones
[33:37.800 --> 33:43.040]  There is no turning back on the road on the run
[33:47.000 --> 33:51.880]  The news websites are infowars.com and prisonplanet.com
[33:52.440 --> 33:53.640]  and
[33:53.640 --> 33:56.720]  The site where we have the nightly news weeknight seven o'clock
[33:56.720 --> 34:02.120]  We also stream video of the weekday radio show and of course the Sunday four to six special
[34:02.120 --> 34:07.800]  Transmission are all streamed at info wars news. That's one word infowarsnews.com
[34:08.600 --> 34:11.440]  That will take you over to prison planet
[34:12.280 --> 34:13.920]  TV
[34:13.920 --> 34:19.560]  Okay where to begin on this subject of Christopher Dorner I?
[34:21.120 --> 34:27.480]  Covered some of this on Friday the mo when does something have the telltale signs of being staged when doesn't it?
[34:27.480 --> 34:35.040]  When the media seizes on something instantly with a scripted focus of talking points. They are
[34:35.960 --> 34:42.080]  Using a crisis to take liberties or they allowed it to happen or involved and there have been cases of all of those
[34:42.400 --> 34:46.560]  permutations on record of staged events or provocateurs events
[34:49.200 --> 34:56.000]  Throughout history not just with our government, but countless other governments. I've read the manifesto the two manifestos
[34:56.000 --> 34:57.400]  and
[34:57.400 --> 35:03.320]  It fits into the narcissistic kind of mental illness of someone who's kicked out of the party
[35:03.320 --> 35:10.360]  You know Oh special ops anti-terror training and then assigned a guy that's gonna be Jack Bauer
[35:11.560 --> 35:17.720]  24 and then he's assigned to the LAPD and all the corruption he sees and he says that you know he sees
[35:17.960 --> 35:24.040]  Racism and so now the media is like maybe it is racism. We're gonna reopen his firing case in
[35:24.040 --> 35:26.040]  2007 2008 and
[35:27.000 --> 35:29.440]  You know all of this
[35:30.640 --> 35:36.080]  Tells you that it's a real event now regardless of all of this
[35:37.400 --> 35:39.400]  They could certainly piggy bank
[35:40.440 --> 35:42.440]  other things on it
[35:42.760 --> 35:47.080]  To kind of use this down the road to save this crisis
[35:48.000 --> 35:51.900]  To put it in that political piggy bank to use the capital later
[35:51.900 --> 35:58.500]  California has introduced legislation that makes people turn in all their semi-automatics it that's gonna cause even faster
[35:58.900 --> 36:04.260]  Exodus from California, which is exactly what the globalists want they want it to implode so they can consolidate power
[36:05.540 --> 36:08.580]  But regardless you've had now several vehicles
[36:09.100 --> 36:14.540]  Shot up one case wasn't even a truck and another case was the wrong make and model wrong color
[36:14.700 --> 36:19.100]  The guy had a silver truck. It's a blue truck with women in it, and there's no apologies
[36:19.100 --> 36:26.620]  It's just we're scared and the image of tens of thousands of police up in the snow-capped mountains of California
[36:28.220 --> 36:30.220]  Running around in giant
[36:31.140 --> 36:35.820]  Armored combat gear that they can hardly walk in it. It's ridiculous
[36:37.140 --> 36:43.420]  Police officers are supposed to be investigators. They're supposed to be community service. They're supposed to be peacemakers
[36:43.420 --> 36:47.380]  they're supposed to be peace officers, but see they've militarized police and
[36:47.380 --> 36:48.380]  and
[36:48.380 --> 36:55.660]  Made them part of Homeland Security and and military goes and kills people and breaks things and so that's the military we have
[36:55.740 --> 36:57.740]  here domestically now and
[36:58.740 --> 37:01.660]  You're going to have some of their people go haywire
[37:04.060 --> 37:06.380]  Because they're there they've been
[37:06.980 --> 37:12.340]  Educated and trained and prepped and prepared I mean if you train to pit bull all day to go out and attack
[37:12.340 --> 37:17.260]  People don't be surprised when it goes out and attacks people you're like yeah
[37:17.260 --> 37:22.660]  But they're supposed to target terrorists or they're supposed to target bad guys well. What if the system is the bad guys?
[37:23.780 --> 37:26.940]  it's going to turn inward on itself and
[37:28.500 --> 37:31.580]  The larger issue in all of this is
[37:32.300 --> 37:37.460]  you've got one guy that's killed three people and shot two others allegedly reportedly and
[37:38.420 --> 37:40.420]  You've got the police
[37:40.420 --> 37:47.460]  Because I've watched it on the news. You've watched it the photos the combat gear of the the beat cops walking around with
[37:49.700 --> 37:53.400]  Sound suppression silencers on 308s reapers
[37:54.620 --> 38:01.260]  M4 m16s you name it and the cops literally are acting like they could die any minute
[38:04.180 --> 38:09.060]  I mean I go do speaking engagements and don't have any security there to check anybody and I walk out and talk to
[38:09.060 --> 38:12.660]  2,000 people and I'm not even scared. I just walk out there something's gonna happen
[38:12.660 --> 38:17.020]  It's gonna happen just like I drove here today, but the most dangerous thing you can do is drive
[38:18.060 --> 38:20.860]  And and I don't know shaking and scared the whole time
[38:20.860 --> 38:22.700]  I try to drive defensively
[38:22.700 --> 38:28.700]  but it just shows the cultural mind control because I've watched a lot of this and I've watched local news feeds and
[38:29.100 --> 38:33.620]  These aren't cops that know they're being videotaped out of store windows by by the local news
[38:33.620 --> 38:37.260]  I mean I mean the cops are running around in a giant drama queen
[38:37.260 --> 38:39.260]  pity party
[38:41.060 --> 38:46.020]  We have become a nation of drama queens not just the police and not all police departments are like this
[38:46.020 --> 38:52.420]  And I know some LAPD people as well, and they never acted like this. I mean this is drama queen central
[38:54.700 --> 38:55.740]  And
[38:55.740 --> 38:57.740]  the globalist plan on
[38:58.540 --> 39:02.980]  Record now to have a civil war that they instigate and start in this country
[39:02.980 --> 39:08.900]  By targeting gun owners harassing gun owners when gun owners start fighting back start resisting
[39:08.900 --> 39:12.420]  They're gonna be called terrorists and a lot of people are gonna say, okay. I'm a terrorist
[39:13.220 --> 39:18.300]  I'm gonna start going out there and going after people and I've always made this point. We don't want to go there
[39:18.340 --> 39:20.620]  That's the last place we want to be see
[39:20.620 --> 39:22.620]  I'm not a guy dressed up in a bunch of
[39:22.660 --> 39:29.440]  Darth Vader gear trying to act tough and staying there on a street corner trying to scare little kids understand. I've really studied history. I
[39:29.440 --> 39:32.120]  I know what a real war will be
[39:32.120 --> 39:37.800]  I know the globalists want it because they win either way because it's gonna destroy our economy and destroy our culture
[39:37.800 --> 39:42.840]  But the entire preparation isn't to fight al-qaeda now in the training manuals the TV shows
[39:43.040 --> 39:48.160]  The dramas on TV to get the public ready for it like I hate Paul Revere and founding fathers
[39:49.080 --> 39:52.120]  That the new al-qaeda is gun owning conservatives
[39:52.120 --> 39:57.960]  That's the new West Point reports two different ones saying the Tea Party's gonna join al-qaeda, and you know that's ridiculous
[39:57.960 --> 40:02.800]  They don't care maybe 10% of public's Tea Party. They're gonna tell the 90% that we're al-qaeda
[40:03.400 --> 40:08.360]  West Point now teaches that the Army War College now teaches that they have TV shows
[40:08.360 --> 40:14.320]  It's not real like founding fathers where the militia leader is really al-qaeda, but the militia doesn't know
[40:15.480 --> 40:19.120]  You're like, but that's just ridiculous. I mean the Tea Party would never it doesn't matter
[40:19.120 --> 40:23.840]  It's on TV, and you've got a bunch of people like these cops in LA
[40:23.840 --> 40:31.720]  Who statistically more of them are gonna die this week in car wrecks and more citizens are gonna die with scared cops shooting them
[40:32.320 --> 40:37.780]  They pulled a guy over and he was white in a car not a truck and they shot him
[40:37.880 --> 40:41.060]  They said okay, you can go and then as he drove off. They shot him
[40:41.760 --> 40:44.340]  They shot up his vehicle just craziness
[40:45.000 --> 40:47.440]  Just just just absolute
[40:47.440 --> 40:55.720]  mania because they're trained and they watch these cop shows and terror shows all day and that al-qaeda is hiding under every chair and
[40:56.280 --> 41:00.760]  Right-wingers are hiding everywhere. You're gonna go out now and start fights with people
[41:02.740 --> 41:08.560]  You know I've talked about how I get sick of bike riders on the hike and bike trail when there's a 10-foot wide trail they'll
[41:08.560 --> 41:11.420]  Come over in your area and say get out of their way most of them are very nice
[41:11.620 --> 41:15.380]  But I was out hiking while I was running up a hill with my buddy the other day Richard
[41:15.380 --> 41:20.460]  and I'm gonna tell the story to you know, bring it all together to admit I do this too and
[41:21.300 --> 41:24.700]  these bike riders come down the big 15-foot wide hill and
[41:25.700 --> 41:30.320]  They're on their side. I'm on mine and the guys kind of get a little bit close to me and one guy goes hey
[41:31.540 --> 41:33.540]  Get out of the way Alex
[41:34.980 --> 41:37.960]  And I turned around to the guy and I said, what did you say
[41:39.380 --> 41:41.380]  he goes I'm talking to this guy and
[41:41.380 --> 41:46.860]  And Richard goes, yeah, no. No, he was saying get out of my way or get off the brakes
[41:46.860 --> 41:51.100]  I'd miss that part the guys named Alex up there. It's like David or John
[41:52.060 --> 41:55.540]  And but but here I am I'm not taking crap off anybody
[41:56.420 --> 42:01.000]  Okay, and and that wasn't intended for me and I wasn't looking for a fight. I just can't help it
[42:01.000 --> 42:03.000]  I turned around said what'd you say to me?
[42:03.340 --> 42:07.520]  And I just got to learn to not go off half-cocked. Well, it's the same system
[42:07.520 --> 42:13.180]  The police are out there just looking for terrorists everywhere and you're going to make the people that
[42:13.500 --> 42:20.020]  Pushing us around getting in our face and look the military and the Pentagon knows this when they're actually trying to take over an area
[42:20.020 --> 42:24.860]  They kiss everyone's butt treat them with great respect give them all sorts of cash free stuff
[42:25.340 --> 42:31.260]  Because you want the the hearts and minds when you look at what the globalist are doing and it's not just me looking at what?
[42:31.260 --> 42:38.580]  They're doing I've got all their white papers and reports. They say they're going to start a civil war in America where the right-wing and
[42:38.900 --> 42:44.460]  Libertarians have a shooting war with the police then they'll bring in the UN the communist and I for
[42:45.460 --> 42:48.420]  After we've all killed each other. I've got an idea
[42:49.180 --> 42:51.180]  Let's not play this game
[42:51.820 --> 42:58.300]  How's that sound? Let's figure out the scam. Let's figure out how this really works and let's go around it
[42:58.300 --> 43:00.300]  You
[43:00.780 --> 43:03.740]  Prepare by purchasing gold food and firearms
[43:03.740 --> 43:05.940]  But if you don't have a home security system
[43:05.940 --> 43:11.700]  Then you're missing a critical weapon in your arsenal for home protection when you're sleeping or away from home
[43:11.700 --> 43:17.900]  Who's watching out for intruders check out simply safe. It's a new do-it-yourself home security system
[43:17.900 --> 43:22.020]  That is completely wireless go to get simply safe calm
[43:22.580 --> 43:26.580]  Simply safe is independent and off the grid it runs on battery power
[43:26.580 --> 43:29.300]  So even if the grid goes down you're protected
[43:29.420 --> 43:37.420]  It's completely customizable so you can use it in your home business boat trailer storage unit or shed get simply safe
[43:37.460 --> 43:38.660]  calm
[43:38.660 --> 43:43.060]  Simply safe is also ridiculously easy to install yourself in under 20 minutes
[43:43.140 --> 43:45.620]  So there's no need to let a stranger into your home
[43:45.620 --> 43:49.740]  If you move or need to relocate you can take the system with you wherever you go
[43:49.740 --> 43:56.500]  You aren't always at home, but simply safe will stand guard protecting your property 24 hours a day seven days a week
[43:57.020 --> 44:01.620]  Again, that's get simply safe calm looking back on 2012
[44:01.620 --> 44:08.140]  I know personally I'm thanking God that my family and I made it through the year from natural disasters like hurricane Sandy and the
[44:08.260 --> 44:14.300]  Devastating summer drought to the family hardships brought on by disastrous economy our hearts go out to those that have lost everything
[44:14.300 --> 44:20.860]  My friends at e foods direct hear from customers every day that are fortunate to weather life's storm by having a supply of food on
[44:20.860 --> 44:26.500]  Hand Danny from New York City wrote in following hurricane Sandy and said almost all the grocery stores are closed
[44:26.500 --> 44:31.380]  But I managed to get my e foods just in time to be able to help my sister and my niece bottom line
[44:31.380 --> 44:34.700]  It's better to be prepared 10 years too early and one day too late
[44:34.700 --> 44:40.140]  He'd common sense is warning and do what I've done call eight hundred four. Oh nine five six three three today
[44:40.140 --> 44:46.380]  Or go to e foods direct comm forward slash Alex. They have the best tasting long-term storable food on the planet call
[44:47.100 --> 44:53.660]  804 oh nine five six three three and ask about the Alex Jones special or go to e foods direct comm forward slash Alex get
[44:54.020 --> 44:59.400]  Self-sufficient today call eight hundred four oh nine five six three three or e foods direct comm forward slash Alex
[45:01.460 --> 45:06.860]  If you want an American company with American products made by Americans
[45:06.860 --> 45:13.580]  Here is the cow Ben soap company Alex and his staff have used these pure soap products for years
[45:13.740 --> 45:20.900]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe
[45:21.100 --> 45:28.620]  See them on the web at five star soap comm or call eight hundred three four zero seven zero nine one for a free catalog
[45:28.940 --> 45:35.180]  by the one to two months sample package and enjoy soaps that are twice as good as what you're using now or
[45:35.180 --> 45:40.240]  Save big with a one to two year supply of soaps or all your cleaning needs
[45:40.300 --> 45:47.160]  This is an amazing deal. You can save thousands of dollars, and you will love the way real soap makes you feel
[45:47.540 --> 45:55.460]  See them on the web at five star soap comm or call eight hundred three four zero seven zero nine one for a free catalog
[45:55.460 --> 46:04.460]  It's no secret that pathogens such as bacteria, viruses, moles, and fungus can inflict severe damage in the human body.
[46:04.460 --> 46:08.460]  Fortunately a new and fastly improved silver solution has been developed.
[46:08.460 --> 46:19.460]  Supernatural Silver is a revolutionary broad-spectrum antibacterial, antiviral, antifungal solution that can be used inside the body as well as on the skin.
[46:19.460 --> 46:27.460]  Supernatural Silver is unique and superior to colloidal and ionic silvers using a patented technology that is highly effective against
[46:27.460 --> 46:32.460]  colds, flus, infections, food poisoning, and yeast in addition to many other pathogens.
[46:32.460 --> 46:41.460]  Supernatural Silver is scientifically supported, extremely safe, and is the number one choice of thousands of people for immune system support.
[46:41.460 --> 46:45.460]  Find out how Supernatural Silver could change your life.
[46:45.460 --> 46:51.460]  Go to SupernaturalSilver.com and use the promo code healthy for 20% off.
[46:51.460 --> 47:18.460]  That's SupernaturalSilver.com and like us on Facebook.
[47:18.460 --> 47:22.460]  We're leading a frontal assault on the lies of the New World Order.
[47:22.460 --> 47:29.460]  It's Alex Jones on the GCN Radio Network.
[47:29.460 --> 47:39.460]  Coming up in the next hour that's only about 14 minutes away or so, we're going to start talking to the family members of servicemen and women that have committed suicide.
[47:39.460 --> 47:47.460]  An unprecedented epidemic, seven times what it was at the end of the Vietnam era, the previous record for suicides.
[47:47.460 --> 47:53.460]  I want to focus in on this and humanize these heroes the media wants to ignore.
[47:53.460 --> 47:59.460]  They want to use their heroics to try to sell the globalist tyranny agenda but actually dehumanize the individual.
[47:59.460 --> 48:01.460]  So here's the toll free number.
[48:01.460 --> 48:05.460]  I know it's hard to talk about but we'd like to hear from you.
[48:05.460 --> 48:09.460]  The toll free number to join us is 877-789.
[48:09.460 --> 48:14.460]  Alex, that's 877-789-2539.
[48:14.460 --> 48:22.460]  We have a different number here on the Sunday show than the weekday show because Genesis takes our calls and routes them through on the weekday show.
[48:22.460 --> 48:29.460]  We're doing it all produced here in house in Austin, Texas on Sundays, 4 to 6 p.m. Central, 877-789.
[48:29.460 --> 48:33.460]  Alex, 877-789-2539.
[48:33.460 --> 48:39.460]  And we'd like to hear you talk about what happened and why you think it happened in the next hour.
[48:39.460 --> 48:47.460]  Okay, so that said, you've got the slow militarization of police that actually started with Darryl Gates and the CIA.
[48:47.460 --> 48:52.460]  That's been declassified wanting to militarize police back in the 60s, 70s and 80s.
[48:52.460 --> 48:54.460]  It started in L.A. as the model.
[48:54.460 --> 48:58.460]  They had shows like SWAT and pretty soon every department wanted to be paramilitary.
[48:58.460 --> 49:03.460]  And the military trains to kill people and break things and fight an enemy.
[49:03.460 --> 49:05.460]  So if you have a domestic military, who do they fight?
[49:05.460 --> 49:07.460]  Well, us, the enemy.
[49:07.460 --> 49:17.460]  And the mainline army and Marines have resisted this mission because they constitutionally have had it handed down that that's illegal.
[49:17.460 --> 49:22.460]  The country started over troops on the streets and gun confiscation in 1776.
[49:22.460 --> 49:26.460]  So what they're doing is just finding cops that will do it.
[49:26.460 --> 49:36.460]  And a lot of these guys that are really true soldiers and are tough, you know, the tougher somebody is, the meaner somebody is, the nicer they are.
[49:36.460 --> 49:38.460]  And the more they're not looking for trouble.
[49:38.460 --> 49:42.460]  And the more they're also intelligence tends to go with the package.
[49:42.460 --> 49:47.460]  And so your real warriors don't want to go around dominating men, women and children.
[49:47.460 --> 49:51.460]  So they find the swollen, roid head, tough guy.
[49:51.460 --> 49:54.460]  They'll always have that gleam in their eye, that big smile.
[49:54.460 --> 49:56.460]  They think they're rock stars.
[49:56.460 --> 50:02.460]  This is a bunch of dress up time, like three year old girls dressing up like princesses or boys dressing up like Spider-Man.
[50:02.460 --> 50:08.460]  And that's fine when you're five years old or three years old, you're supposed to give that up when you get older.
[50:08.460 --> 50:13.460]  And I see so many of these cops that you'll get in your face or start fights with people.
[50:13.460 --> 50:17.460]  You've seen the videos online where somebody's done nothing wrong and they attack them.
[50:17.460 --> 50:22.460]  There's a story up at drugsreport.com on the right hand side down towards the bottom now.
[50:22.460 --> 50:26.460]  That's an info wars dot com report where before this thing in California started.
[50:26.460 --> 50:32.460]  What is San Bernardino? These people are out there mile off the road in the mountains hiking.
[50:32.460 --> 50:37.460]  And a police helicopter flies around in circles and lands and is like, why are you videotaping me?
[50:37.460 --> 50:38.460]  I'm going to search you without a warrant.
[50:38.460 --> 50:41.460]  Turned out they had no reason. It was just pure harassment.
[50:41.460 --> 50:46.460]  And that that that town and county is going bankrupt, but they've got a whole bunch of helicopters.
[50:46.460 --> 50:55.460]  And it's just that attitude of if you're going to be in a uniform and be packing heat, you better respect it.
[50:55.460 --> 50:59.460]  But see, government is kind of ganged up now to not respect that.
[50:59.460 --> 51:06.460]  Well, you're not going to be respected like our Mexican police respected our North Korean police respected.
[51:06.460 --> 51:11.460]  No, they're not. In Spain, they don't respect the police anymore.
[51:11.460 --> 51:16.460]  They were respectable in times past. More and more in Germany, they're not respected because they act like a bunch of thugs.
[51:16.460 --> 51:24.460]  In Russia, they're not respected. In fact, most places, everybody knows the police are crooks in uniforms.
[51:24.460 --> 51:31.460]  And, you know, if you're a good cop in those departments, you're out of the force or you're a joke.
[51:31.460 --> 51:37.460]  You're compartmentalized and they laugh at you because you won't take the hookers and the money and all the rest of it.
[51:37.460 --> 51:46.460]  And believe me, folks, just in my life, the things I've run into in Dallas and Los Angeles and New York, the parties I've been at, the things I've seen.
[51:46.460 --> 51:51.460]  And I'm sure you've seen it, too. I mean, it's the police delivering the drugs to the party.
[51:51.460 --> 51:57.460]  It's the police running the hookers. And again, I'm at places that aren't even, you know, party places.
[51:57.460 --> 52:01.460]  And I'm like, I'm getting out of here. And I've run into this throughout my life.
[52:01.460 --> 52:06.460]  Stop being naive. Government is dangerous. You better keep it small.
[52:06.460 --> 52:12.460]  You better keep it under control or it will eat your lunch. You keep it on a leash or it'll put you on one.
[52:12.460 --> 52:19.460]  That's an Alex Jones quote right there. You keep government on a short leash or it's going to put you on one.
[52:19.460 --> 52:25.460]  Their officials, their authorities, they fly on Air Force One's. They've got the red carpet.
[52:25.460 --> 52:34.460]  They're kings. Government is kings. And through that above the law power, everyone that works for the government is now a lord.
[52:34.460 --> 52:37.460]  Well, my forebearers fought against that and I'm not going along with it.
[52:37.460 --> 52:41.460]  But news flashed all the tough guys that are training for this civil war.
[52:41.460 --> 52:48.460]  And it's not Al Qaeda pop up targets now. It's guys with John Deere hats actually have these, you know, good old boys you're practicing killing.
[52:48.460 --> 52:54.460]  Let me tell you, you better hope the globalist civil war doesn't start. You're scared to death.
[52:54.460 --> 53:02.460]  They've got patrol cops off the streets on motorcycles or foot because of one guy in Southern California, a state of 38 million people.
[53:02.460 --> 53:08.460]  Twenty something million of them in Southern California. You start a fight with one hundred and sixty million gun owners.
[53:08.460 --> 53:15.460]  You let the global social engineers start this. The Bolshevik collectivist.
[53:15.460 --> 53:22.460]  You let them get you into this while they sit back. Do you have any idea what's going to happen if one percent of that one point?
[53:22.460 --> 53:27.460]  One percent of one hundred and sixty million fight back and just go out.
[53:27.460 --> 53:33.460]  And go after one person and then disappear, never seen again. That's one point six million combatants.
[53:33.460 --> 53:39.460]  Can you do the math? That's as many police there are in this country.
[53:39.460 --> 53:45.460]  Oh, but that's part of the globalist plan there. They plan to have patriots engage in a nine to the long knives.
[53:45.460 --> 53:58.460]  You don't know what that is. Look it up against you. That was Hitler's purge of the military and police that had helped him come to power, but still did it because they were scared of him or were intimidated into it.
[53:58.460 --> 54:12.460]  And then Hitler had several other purges and so did Fidel Castro, so did Hugo Chavez, so did Stalin, so did Lenin, so did Mao, so did Pol Pot, so did the leader of the North Vietnamese Ho Chi Minh.
[54:12.460 --> 54:19.460]  See, I know history. That's why I'm so freaked out right now. I know history.
[54:19.460 --> 54:28.460]  And I know there's a global corporate crime syndicate that's bought off all major governments and mopping up the few little governments they didn't control playing us off against each other.
[54:28.460 --> 54:33.460]  And they want the patriots and the police and the military to kill each other.
[54:33.460 --> 54:41.460]  And every preparation they've made is for this. And Homeland Security is for this. And now the TV shows are about how this is coming.
[54:41.460 --> 54:49.460]  The dramas show that your wife, your husband, your neighbor, your school teacher, your boss is now being caught.
[54:49.460 --> 54:56.460]  Guys that wear Gadsden flag shirts, guys that talk about George Washington, guys that talk about the Second Amendment, guys that talk about the New World Order.
[54:56.460 --> 55:05.460]  Oh, they're really al-Qaeda. Now, if you're informed, that's ridiculous. But you see, it doesn't matter. They're targeting Joe Dumbo's six pack out there.
[55:05.460 --> 55:13.460]  Shally Shocker Mom, who doesn't know her head from a hole in the ground.
[55:13.460 --> 55:20.460]  Now, again, when we start the next hour, we're going to take about 45 minutes of people that have lost family members to suicide in the military.
[55:20.460 --> 55:29.460]  I know it's hard to talk about, but we need to humanize this situation. We need to focus on this epidemic that's coming up in the next hour.
[55:29.460 --> 55:38.460]  For most of the next hour, I will spend the last segment on some of the most important info. But let me just give you that number, 877-789.
[55:38.460 --> 55:50.460]  Alex, 877-789-2539. For families that have lost people to suicide, or if you're in the military and you've lost a friend, I should add that.
[55:50.460 --> 55:59.460]  I meant to add that at the start of the broadcast. If you had a buddy who committed suicide, what led to that? What do you think caused that?
[55:59.460 --> 56:06.460]  Why is it epidemic? We should be talking about this. Like, why is breast cancer epidemic almost 3,000 percentage points what it was in the 50s?
[56:06.460 --> 56:13.460]  Here in the United States, we lead the world. Why is breast cancer epidemic? I know why. It's estrogen mimickers in the plastics and the food.
[56:13.460 --> 56:19.460]  The studies are out there, but it's never on the news. That's why girls are having babies at eight years old and going to puberty at three years old now.
[56:19.460 --> 56:29.460]  Puberty average was 14 years old and back in the 50s, now it's about 10. Three-year-olds are going into puberty now. Don't believe me? Just type it into a search engine.
[56:29.460 --> 56:37.460]  Eight-year-olds are having babies. Seven-year-olds are having babies. Women are hyper-feminized. The plastics make the men become feminized.
[56:37.460 --> 56:44.460]  I mean, I know the reason, but see, should it be find a cure to breast cancer or find out why it's happening?
[56:44.460 --> 56:51.460]  If you had like 1,000 people a day getting hacked up with machetes, you want to know who's doing this, not let's find a cure to machete hacks.
[56:51.460 --> 56:58.460]  You know, it's the same thing, so we're going to be talking about that, but I'll get into it after we take about 45 minutes of calls on this all-important subject.
[56:58.460 --> 57:04.460]  We're going to get into the video that's now up at infowars.com because the globalists admit they're planning this.
[57:04.460 --> 57:16.460]  World Banker makes stunning confession. James Wolfdinson, former top globalist World Bank president, Bilderberg group member, just bragging how they're going to make the less poor.
[57:16.460 --> 57:27.460]  See, once they've done that, it's game over. Once you're living in a dirt-floor deal with two hours of electricity a day and your kid's basically on the edge of starvation, you're not going to be so uppity anymore.
[57:27.460 --> 57:36.460]  You see, the global mega-rich don't want free market. They don't want wealth. They're going to try to drown the free market and make us all poor, and I don't like it.
[57:36.460 --> 57:43.460]  And I believe you need to know about the real war going on. Those of you who want to act like you're real men, the real fight's happening right now.
[57:43.460 --> 57:49.460]  Second hour's coming up. Tell your friends and family to tune in right now. However you're listening.
[57:49.460 --> 57:54.460]  You may be arrested and or subject to other police action.
[57:54.460 --> 57:59.460]  The tyranny is here. The grim future foretold in 1984 has become reality.
[57:59.460 --> 58:02.460]  It really says that the state is God.
[58:02.460 --> 58:07.460]  The United States is now recognized globally as one of the most oppressive police states on earth.
